name,text_color,background_color,is_b1g
TTUN,FFCB05,00274C,TRUE
Penn State,FFFFFF,041E42 ,TRUE
Maryland,ffd200,e21833,TRUE
Rutgers,000000 ,CC0033 ,TRUE
Indiana,EEEDEB ,990000 ,TRUE
Oregon,FEE11A,007030,TRUE
Washington,b7a57a,4b2e83 ,TRUE
Iowa,FFCD00 ,000000 ,TRUE
Northwestern,FFFFFF ,4E2A84 ,TRUE
Wisconsin,FFFFFF ,C5050C ,TRUE
Minnesota,FFCC33 ,7A0019 ,TRUE
Nebraska,000000 ,E41C38 ,TRUE
Illinois,ff5f05,13294b ,TRUE
Purdue,000000 ,CEB888 ,TRUE
UCLA,FFD100,2774AE,TRUE
USC,FFCC00 ,990000,TRUE
Ohio State,FFFFFF,BB0000,TRUE
Michigan State,FFFFFF,18453B,TRUE
